ask	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9	bid	b0	b1	b2	b3	b4	b5	b6	b7	b8	b9
58894.32714	58812.6	58802.01971	58797.58005	58795.31	58791.2041	58771.73599	58748.1751	58756.09	58732.88	58735.62906	58727.56	58643.06	58630.45	58627.13	58621.1	58616.89	58592.19699	58573.58	58579.23	58556.12	58568.72	
58861.51	58802.01971	58797.58005	58795.31	58791.2041	58771.73599	58748.1751	58756.09	58732.88	58735.62906	58721.8638	58693.71	58630.45	58627.13	58621.1	58616.89	58592.19699	58573.58	58579.23	58556.12	58568.72	58549.48	
58855.14159	58797.58005	58795.31	58791.2041	58771.73599	58748.1751	58756.09	58732.88	58735.62906	58721.8638	58706.44	58687.54	58627.13	58621.1	58616.89	58592.19699	58573.58	58579.23	58556.12	58568.72	58549.48	58538.43	
58868.11	58795.31	58791.2041	58771.73599	58748.1751	58756.09	58732.88	58735.62906	58721.8638	58706.44	58720.03	58696.23728	58621.1	58616.89	58592.19699	58573.58	58579.23	58556.12	58568.72	58549.48	58538.43	58543.5684	
58881.05	58791.2041	58771.73599	58748.1751	58756.09	58732.88	58735.62906	58721.8638	58706.44	58720.03	58730.62	58710.57	58616.89	58592.19699	58573.58	58579.23	58556.12	58568.72	58549.48	58538.43	58543.5684	58557.68	
58884.06195	58771.73599	58748.1751	58756.09	58732.88	58735.62906	58721.8638	58706.44	58720.03	58730.62	58753.10244	58721.54	58592.19699	58573.58	58579.23	58556.12	58568.72	58549.48	58538.43	58543.5684	58557.68	58575.36776	
58915.47391	58748.1751	58756.09	58732.88	58735.62906	58721.8638	58706.44	58720.03	58730.62	58753.10244	58771.30296	58736.54611	58573.58	58579.23	58556.12	58568.72	58549.48	58538.43	58543.5684	58557.68	58575.36776	58594.91	
58912.44187	58756.09	58732.88	58735.62906	58721.8638	58706.44	58720.03	58730.62	58753.10244	58771.30296	58781.06956	58734.86974	58579.23	58556.12	58568.72	58549.48	58538.43	58543.5684	58557.68	58575.36776	58594.91	58609.72	
58908.44	58732.88	58735.62906	58721.8638	58706.44	58720.03	58730.62	58753.10244	58771.30296	58781.06956	58808.40215	58740.38	58556.12	58568.72	58549.48	58538.43	58543.5684	58557.68	58575.36776	58594.91	58609.72	58640.09	
58905.95	58735.62906	58721.8638	58706.44	58720.03	58730.62	58753.10244	58771.30296	58781.06956	58808.40215	58850.86	58731.32	58568.72	58549.48	58538.43	58543.5684	58557.68	58575.36776	58594.91	58609.72	58640.09	58684.52	
58923.79	58721.8638	58706.44	58720.03	58730.62	58753.10244	58771.30296	58781.06956	58808.40215	58850.86	58859.41	58746.81301	58549.48	58538.43	58543.5684	58557.68	58575.36776	58594.91	58609.72	58640.09	58684.52	58691.29	
58939.02	58706.44	58720.03	58730.62	58753.10244	58771.30296	58781.06956	58808.40215	58850.86	58859.41	58954.77	58767.65	58538.43	58543.5684	58557.68	58575.36776	58594.91	58609.72	58640.09	58684.52	58691.29	58769.7	
58957.12	58720.03	58730.62	58753.10244	58771.30296	58781.06956	58808.40215	58850.86	58859.41	58954.77	58918.28	58784.08	58543.5684	58557.68	58575.36776	58594.91	58609.72	58640.09	58684.52	58691.29	58769.7	58756.49743	
58963.31	58730.62	58753.10244	58771.30296	58781.06956	58808.40215	58850.86	58859.41	58954.77	58918.28	58900.4	58791.95591	58557.68	58575.36776	58594.91	58609.72	58640.09	58684.52	58691.29	58769.7	58756.49743	58738.51176	
58930.53449	58753.10244	58771.30296	58781.06956	58808.40215	58850.86	58859.41	58954.77	58918.28	58900.4	58877.98	58760.31	58575.36776	58594.91	58609.72	58640.09	58684.52	58691.29	58769.7	58756.49743	58738.51176	58713.49998	
58937.5	58771.30296	58781.06956	58808.40215	58850.86	58859.41	58954.77	58918.28	58900.4	58877.98	58890.89	58771.72	58594.91	58609.72	58640.09	58684.52	58691.29	58769.7	58756.49743	58738.51176	58713.49998	58725.02213	
58955.27981	58781.06956	58808.40215	58850.86	58859.41	58954.77	58918.28	58900.4	58877.98	58890.89	58903.85	58777.26384	58609.72	58640.09	58684.52	58691.29	58769.7	58756.49743	58738.51176	58713.49998	58725.02213	58738.33487	
58960.51	58808.40215	58850.86	58859.41	58954.77	58918.28	58900.4	58877.98	58890.89	58903.85	58864.0	58788.59917	58640.09	58684.52	58691.29	58769.7	58756.49743	58738.51176	58713.49998	58725.02213	58738.33487	58709.25	
58966.44	58850.86	58859.41	58954.77	58918.28	58900.4	58877.98	58890.89	58903.85	58864.0	58895.33	58790.51072	58684.52	58691.29	58769.7	58756.49743	58738.51176	58713.49998	58725.02213	58738.33487	58709.25	58728.98	
58963.21	58859.41	58954.77	58918.28	58900.4	58877.98	58890.89	58903.85	58864.0	58895.33	58891.28039	58798.21	58691.29	58769.7	58756.49743	58738.51176	58713.49998	58725.02213	58738.33487	58709.25	58728.98	58736.99	
58963.08	58954.77	58918.28	58900.4	58877.98	58890.89	58903.85	58864.0	58895.33	58891.28039	58894.32714	58803.29	58769.7	58756.49743	58738.51176	58713.49998	58725.02213	58738.33487	58709.25	58728.98	58736.99	58727.56	
58965.44	58918.28	58900.4	58877.98	58890.89	58903.85	58864.0	58895.33	58891.28039	58894.32714	58861.51	58793.03	58756.49743	58738.51176	58713.49998	58725.02213	58738.33487	58709.25	58728.98	58736.99	58727.56	58693.71	
58967.94	58900.4	58877.98	58890.89	58903.85	58864.0	58895.33	58891.28039	58894.32714	58861.51	58855.14159	58797.61747	58738.51176	58713.49998	58725.02213	58738.33487	58709.25	58728.98	58736.99	58727.56	58693.71	58687.54	
58977.69	58877.98	58890.89	58903.85	58864.0	58895.33	58891.28039	58894.32714	58861.51	58855.14159	58868.11	58814.97	58713.49998	58725.02213	58738.33487	58709.25	58728.98	58736.99	58727.56	58693.71	58687.54	58696.23728	
59006.36013	58890.89	58903.85	58864.0	58895.33	58891.28039	58894.32714	58861.51	58855.14159	58868.11	58881.05	58828.65472	58725.02213	58738.33487	58709.25	58728.98	58736.99	58727.56	58693.71	58687.54	58696.23728	58710.57	
59012.08586	58903.85	58864.0	58895.33	58891.28039	58894.32714	58861.51	58855.14159	58868.11	58881.05	58884.06195	58834.41582	58738.33487	58709.25	58728.98	58736.99	58727.56	58693.71	58687.54	58696.23728	58710.57	58721.54	
59019.31342	58864.0	58895.33	58891.28039	58894.32714	58861.51	58855.14159	58868.11	58881.05	58884.06195	58915.47391	58844.52905	58709.25	58728.98	58736.99	58727.56	58693.71	58687.54	58696.23728	58710.57	58721.54	58736.54611	
58991.8378	58895.33	58891.28039	58894.32714	58861.51	58855.14159	58868.11	58881.05	58884.06195	58915.47391	58912.44187	58814.12951	58728.98	58736.99	58727.56	58693.71	58687.54	58696.23728	58710.57	58721.54	58736.54611	58734.86974	
