ask,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,bid,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,ask_pade,bid_pade
48986.05475,48976.39,48976.38,48976.38,48975.71819,48975.71819,48975.61551,48975.38,48976.2,48977.01,48976.80393,48690.2,48678.23,48677.25,48676.54,48675.24566,48675.24566,48675.31824,48675.31824,48676.31237,48676.31237,48676.95971,396.528302260069,316.24481988633954,
48986.05475,48976.38,48976.38,48975.71819,48975.71819,48975.61551,48975.38,48976.2,48977.01,48976.80393,48975.92,48695.62,48677.25,48676.54,48675.24566,48675.24566,48675.31824,48675.31824,48676.31237,48676.31237,48676.95971,48676.96899,298.01679597639486,246.03631869135148,
48988.85308,48976.38,48975.71819,48975.71819,48975.61551,48975.38,48976.2,48977.01,48976.80393,48975.92,48975.95,48694.27,48676.54,48675.24566,48675.24566,48675.31824,48675.31824,48676.31237,48676.31237,48676.95971,48676.96899,48676.96899,-28.038542674468424,-311.5869233912035,
48991.23,48975.71819,48975.71819,48975.61551,48975.38,48976.2,48977.01,48976.80393,48975.92,48975.95,48968.17,48694.43,48675.24566,48675.24566,48675.31824,48675.31824,48676.31237,48676.31237,48676.95971,48676.96899,48676.96899,48669.30012,109.0653564679881,86.36859720031063,
48990.1,48975.71819,48975.61551,48975.38,48976.2,48977.01,48976.80393,48975.92,48975.95,48968.17,48968.17,48693.61,48675.24566,48675.31824,48675.31824,48676.31237,48676.31237,48676.95971,48676.96899,48676.96899,48669.30012,48669.30012,22.139621162304607,126.0509054474006,
48990.21,48975.61551,48975.38,48976.2,48977.01,48976.80393,48975.92,48975.95,48968.17,48968.17,48965.52,48692.82,48675.31824,48675.31824,48676.31237,48676.31237,48676.95971,48676.96899,48676.96899,48669.30012,48669.30012,48667.76532,56.61017533800513,-151.08997925363113,
48988.34,48975.38,48976.2,48977.01,48976.80393,48975.92,48975.95,48968.17,48968.17,48965.52,48965.21,48690.59444,48675.31824,48676.31237,48676.31237,48676.95971,48676.96899,48676.96899,48669.30012,48669.30012,48667.76532,48667.76532,-33.568062545641574,-9.142014260544972,
48989.95,48976.2,48977.01,48976.80393,48975.92,48975.95,48968.17,48968.17,48965.52,48965.21,48964.67,48690.59444,48676.31237,48676.31237,48676.95971,48676.96899,48676.96899,48669.30012,48669.30012,48667.76532,48667.76532,48667.74448,38.773465921701955,95.38507524068177,
48989.89,48977.01,48976.80393,48975.92,48975.95,48968.17,48968.17,48965.52,48965.21,48964.67,48961.51,48691.08679,48676.31237,48676.95971,48676.96899,48676.96899,48669.30012,48669.30012,48667.76532,48667.76532,48667.74448,48667.74448,28.969151427401012,-454.13530442262834,
48991.51,48976.80393,48975.92,48975.95,48968.17,48968.17,48965.52,48965.21,48964.67,48961.51,48965.21,48691.08679,48676.95971,48676.96899,48676.96899,48669.30012,48669.30012,48667.76532,48667.76532,48667.74448,48667.74448,48665.62409,-120.20647749464496,-25.386390411725536,
48989.9,48975.92,48975.95,48968.17,48968.17,48965.52,48965.21,48964.67,48961.51,48965.21,48964.2,48690.63182,48676.96899,48676.96899,48669.30012,48669.30012,48667.76532,48667.76532,48667.74448,48667.74448,48665.62409,48665.62409,9.542873940202096,-229.19063913819173,
48988.67,48975.95,48968.17,48968.17,48965.52,48965.21,48964.67,48961.51,48965.21,48964.2,48964.59117,48690.63182,48676.96899,48669.30012,48669.30012,48667.76532,48667.76532,48667.74448,48667.74448,48665.62409,48665.62409,48667.26,-66.70673676094339,-254.46697213492754,
48990.37,48968.17,48968.17,48965.52,48965.21,48964.67,48961.51,48965.21,48964.2,48964.59117,48967.41,48690.58265,48669.30012,48669.30012,48667.76532,48667.76532,48667.74448,48667.74448,48665.62409,48665.62409,48667.26,48667.26,-147.81088913290176,-196.17587742587062,
48991.82003,48968.17,48965.52,48965.21,48964.67,48961.51,48965.21,48964.2,48964.59117,48967.41,48964.59117,48693.69,48669.30012,48667.76532,48667.76532,48667.74448,48667.74448,48665.62409,48665.62409,48667.26,48667.26,48667.26,-403.4371018520895,-391.15845509065946,
48996.58,48965.52,48965.21,48964.67,48961.51,48965.21,48964.2,48964.59117,48967.41,48964.59117,48964.598,48700.17,48667.76532,48667.76532,48667.74448,48667.74448,48665.62409,48665.62409,48667.26,48667.26,48667.26,48667.5,349.9710936682145,37.06832666390511,
48996.58,48965.21,48964.67,48961.51,48965.21,48964.2,48964.59117,48967.41,48964.59117,48964.598,48971.53464,48700.2,48667.76532,48667.74448,48667.74448,48665.62409,48665.62409,48667.26,48667.26,48667.26,48667.5,48673.66,-210.1734777494649,17.423487961616086,
48995.59,48964.67,48961.51,48965.21,48964.2,48964.59117,48967.41,48964.59117,48964.598,48971.53464,48971.53464,48700.67,48667.74448,48667.74448,48665.62409,48665.62409,48667.26,48667.26,48667.26,48667.5,48673.66,48679.45,122.69155928677188,57.0248747630722,
48998.01,48961.51,48965.21,48964.2,48964.59117,48967.41,48964.59117,48964.598,48971.53464,48971.53464,48979.59658,48701.38,48667.74448,48665.62409,48665.62409,48667.26,48667.26,48667.26,48667.5,48673.66,48679.45,48683.68,61.125142505807524,2.890804982148151,
48997.98158,48965.21,48964.2,48964.59117,48967.41,48964.59117,48964.598,48971.53464,48971.53464,48979.59658,48979.59658,48701.42,48665.62409,48665.62409,48667.26,48667.26,48667.26,48667.5,48673.66,48679.45,48683.68,48682.21,105.45146961430021,259.71542053850237,
48991.81746,48964.2,48964.59117,48967.41,48964.59117,48964.598,48971.53464,48971.53464,48979.59658,48979.59658,48981.65758,48701.37,48665.62409,48667.26,48667.26,48667.26,48667.5,48673.66,48679.45,48683.68,48682.21,48688.66,229.0120084843951,145.67087043703606,
48991.81746,48964.59117,48967.41,48964.59117,48964.598,48971.53464,48971.53464,48979.59658,48979.59658,48981.65758,48986.05475,48692.93,48667.26,48667.26,48667.26,48667.5,48673.66,48679.45,48683.68,48682.21,48688.66,48690.2,147.0678169763258,362.4674199685593,
48993.07898,48967.41,48964.59117,48964.598,48971.53464,48971.53464,48979.59658,48979.59658,48981.65758,48986.05475,48986.05475,48694.53,48667.26,48667.26,48667.5,48673.66,48679.45,48683.68,48682.21,48688.66,48690.2,48695.62,232.40082019724986,208.51733519821943,
48992.24,48964.59117,48964.598,48971.53464,48971.53464,48979.59658,48979.59658,48981.65758,48986.05475,48986.05475,48988.85308,48692.09789,48667.26,48667.5,48673.66,48679.45,48683.68,48682.21,48688.66,48690.2,48695.62,48694.27,264.6486966539227,275.18498555916614,
48992.14704,48964.598,48971.53464,48971.53464,48979.59658,48979.59658,48981.65758,48986.05475,48986.05475,48988.85308,48991.23,48692.09789,48667.5,48673.66,48679.45,48683.68,48682.21,48688.66,48690.2,48695.62,48694.27,48694.43,216.47332039672136,322.29308502635735,
48992.14704,48971.53464,48971.53464,48979.59658,48979.59658,48981.65758,48986.05475,48986.05475,48988.85308,48991.23,48990.1,48696.62,48673.66,48679.45,48683.68,48682.21,48688.66,48690.2,48695.62,48694.27,48694.43,48693.61,236.17194166486428,250.64422063349133,
48996.31062,48971.53464,48979.59658,48979.59658,48981.65758,48986.05475,48986.05475,48988.85308,48991.23,48990.1,48990.21,48697.7,48679.45,48683.68,48682.21,48688.66,48690.2,48695.62,48694.27,48694.43,48693.61,48692.82,158.5679094753602,244.60130429561588,
48996.31062,48979.59658,48979.59658,48981.65758,48986.05475,48986.05475,48988.85308,48991.23,48990.1,48990.21,48988.34,48700.96,48683.68,48682.21,48688.66,48690.2,48695.62,48694.27,48694.43,48693.61,48692.82,48690.59444,290.7758964539225,272.8651130006251,
48997.74871,48979.59658,48981.65758,48986.05475,48986.05475,48988.85308,48991.23,48990.1,48990.21,48988.34,48989.95,48700.88,48682.21,48688.66,48690.2,48695.62,48694.27,48694.43,48693.61,48692.82,48690.59444,48690.59444,239.55053017455273,252.66820889110411,
48996.27412,48981.65758,48986.05475,48986.05475,48988.85308,48991.23,48990.1,48990.21,48988.34,48989.95,48989.89,48698.18,48688.66,48690.2,48695.62,48694.27,48694.43,48693.61,48692.82,48690.59444,48690.59444,48691.08679,98.50608974814374,88.02333579164969,
48996.27412,48986.05475,48986.05475,48988.85308,48991.23,48990.1,48990.21,48988.34,48989.95,48989.89,48991.51,48701.56,48690.2,48695.62,48694.27,48694.43,48693.61,48692.82,48690.59444,48690.59444,48691.08679,48691.08679,522.579214955031,520.5772763801476,
48994.49,48986.05475,48988.85308,48991.23,48990.1,48990.21,48988.34,48989.95,48989.89,48991.51,48989.9,48698.85,48695.62,48694.27,48694.43,48693.61,48692.82,48690.59444,48690.59444,48691.08679,48691.08679,48690.63182,105.43419454229256,155.2983221101449,
48993.08,48988.85308,48991.23,48990.1,48990.21,48988.34,48989.95,48989.89,48991.51,48989.9,48988.67,48698.85,48694.27,48694.43,48693.61,48692.82,48690.59444,48690.59444,48691.08679,48691.08679,48690.63182,48690.63182,339.1874198259879,247.52325947068348,
48997.10036,48991.23,48990.1,48990.21,48988.34,48989.95,48989.89,48991.51,48989.9,48988.67,48990.37,48697.32824,48694.43,48693.61,48692.82,48690.59444,48690.59444,48691.08679,48691.08679,48690.63182,48690.63182,48690.58265,369.3995393944133,444.6583044035585,
48997.10036,48990.1,48990.21,48988.34,48989.95,48989.89,48991.51,48989.9,48988.67,48990.37,48991.82003,48697.85401,48693.61,48692.82,48690.59444,48690.59444,48691.08679,48691.08679,48690.63182,48690.63182,48690.58265,48693.69,450.3887434027098,578.3486037753183,
48997.51,48990.21,48988.34,48989.95,48989.89,48991.51,48989.9,48988.67,48990.37,48991.82003,48996.58,48699.09416,48692.82,48690.59444,48690.59444,48691.08679,48691.08679,48690.63182,48690.63182,48690.58265,48693.69,48700.17,654.6564304602758,433.034750034475,
48997.5,48988.34,48989.95,48989.89,48991.51,48989.9,48988.67,48990.37,48991.82003,48996.58,48996.58,48699.09416,48690.59444,48690.59444,48691.08679,48691.08679,48690.63182,48690.63182,48690.58265,48693.69,48700.17,48700.2,322.0017596725212,596.5743775244204,
